Time,Vref_1,V7,D_1,portadora,Vout
7.56e-005,1,0.0356906,0.06139,0.9,0.233478
7.58e-005,1,0.035644,0.0637474,0.95,0.234455
7.6e-005,1,0.0355972,0.0661027,1,0.235424
7.62e-005,1,0.0355502,0.0684558,0.05,0.236493
7.64e-005,1,0.0379029,0.0327106,0.1,0.237636
7.66e-005,1,0.038372,0.0269426,0.15,0.238755
7.68e-005,1,0.0383243,0.0293754,0.2,0.239868
7.7e-005,1,0.0382765,0.0318062,0.25,0.240972
7.72e-005,1,0.0382284,0.0342346,0.3,0.242067
7.74e-005,1,0.0381801,0.0366608,0.35,0.243154
7.76e-005,1,0.0381316,0.0390847,0.4,0.244233
7.78e-005,1,0.0380828,0.0415063,0.45,0.245304
7.8e-005,1,0.0380339,0.0439256,0.5,0.246366
7.82e-005,1,0.0379847,0.0463427,0.55,0.247419
7.84e-005,1,0.0379353,0.0487574,0.6,0.248465
7.86e-005,1,0.0378857,0.0511699,0.65,0.249502
7.88e-005,1,0.0378359,0.0535801,0.7,0.250531
7.9e-005,1,0.0377859,0.055988,0.75,0.251551
7.92e-005,1,0.0377357,0.0583936,0.8,0.252564
7.94e-005,1,0.0376853,0.060797,0.85,0.253568
7.96e-005,1,0.0376347,0.063198,0.9,0.254564
7.98e-005,1,0.0375839,0.0655968,0.95,0.255552
8e-005,1,0.0375329,0.0679933,6.09864e-014,0.256532
8.02e-005,1,0.0374817,0.0703875,0.05,0.257611
8.04e-005,1,0.0398302,0.0346831,0.1,0.258768
8.06e-005,1,0.0403494,0.0280943,0.15,0.2599
8.08e-005,1,0.0402975,0.0305694,0.2,0.261025
8.1e-005,1,0.0402454,0.0330423,0.25,0.262142
8.12e-005,1,0.040193,0.0355128,0.3,0.263249
8.14e-005,1,0.0401405,0.0379809,0.35,0.264348
8.16e-005,1,0.0400877,0.0404466,0.4,0.265438
8.18e-005,1,0.0400348,0.0429098,0.45,0.26652
8.2e-005,1,0.0399816,0.0453706,0.5,0.267592
8.22e-005,1,0.0399282,0.047829,0.55,0.268657
8.24e-005,1,0.0398745,0.050285,0.6,0.269712
8.26e-005,1,0.0398207,0.0527385,0.65,0.270759
8.28e-005,1,0.0397667,0.0551897,0.7,0.271797
8.3e-005,1,0.0397124,0.0576384,0.75,0.272827
8.32e-005,1,0.0396579,0.0600847,0.8,0.273849
8.34e-005,1,0.0396033,0.0625286,0.85,0.274861
8.36e-005,1,0.0395484,0.0649701,0.9,0.275866
8.38e-005,1,0.0394933,0.0674092,0.95,0.276862
8.4e-005,1,0.0394381,0.0698458,1,0.27785
8.42e-005,1,0.0393826,0.07228,0.05,0.278936
8.44e-005,1,0.0417268,0.0366156,0.1,0.280104
8.46e-005,1,0.0422951,0.0292213,0.15,0.281246
8.48e-005,1,0.0422389,0.0317377,0.2,0.282381
8.5e-005,1,0.0421825,0.0342516,0.25,0.283507
8.52e-005,1,0.0421259,0.0367631,0.3,0.284623
8.54e-005,1,0.0420691,0.039272,0.35,0.285731
8.56e-005,1,0.0420121,0.0417783,0.4,0.286829
8.58e-005,1,0.0419548,0.044282,0.45,0.287919
8.6e-005,1,0.0418973,0.0467833,0.5,0.289
8.62e-005,1,0.0418396,0.0492819,0.55,0.290071
8.64e-005,1,0.0417817,0.051778,0.6,0.291134
8.66e-005,1,0.0417236,0.0542716,0.65,0.292188
8.68e-005,1,0.0416653,0.0567626,0.7,0.293233
8.7e-005,1,0.0416067,0.0592511,0.75,0.294269
8.72e-005,1,0.041548,0.061737,0.8,0.295297
8.74e-005,1,0.041489,0.0642204,0.85,0.296316
8.76e-005,1,0.0414299,0.0667012,0.9,0.297326
8.78e-005,1,0.0413705,0.0691794,0.95,0.298327
8.8e-005,1,0.0413109,0.0716552,1,0.29932
8.82e-005,1,0.0412512,0.0741283,0.05,0.30041
8.84e-005,1,0.0435912,0.0385027,0.1,0.301587
8.86e-005,1,0.0442072,0.0303209,0.15,0.302735
8.88e-005,1,0.0441467,0.0328773,0.2,0.303877
8.9e-005,1,0.044086,0.0354313,0.25,0.30501
8.92e-005,1,0.0440251,0.0379825,0.3,0.306133
8.94e-005,1,0.043964,0.0405311,0.35,0.307247
8.96e-005,1,0.0439027,0.043077,0.4,0.308351
8.98e-005,1,0.0438411,0.0456202,0.45,0.309446
9e-005,1,0.0437793,0.0481607,0.5,0.310532
9.02e-005,1,0.0437173,0.0506985,0.55,0.311608
9.04e-005,1,0.0436551,0.0532337,0.6,0.312676
9.06e-005,1,0.0435927,0.0557662,0.65,0.313734
9.08e-005,1,0.04353,0.0582959,0.7,0.314783
9.1e-005,1,0.0434672,0.060823,0.75,0.315823
9.12e-005,1,0.0434041,0.0633475,0.8,0.316854
