Time,gate,Duty_moduladora,Vref_hs,Vout,V_port,D_pedro,Vref_pedro,portadora_pedro,V6,Vref_hst,V8
0.000213,1,1.92237,10,4.31605,0.3,0.42971,5,0.3,0.680472,5,0.3
0.000214,1,1.92776,10,4.33602,0.4,0.429807,5,0.4,0.680747,5,0.4
0.000215,0,1.93302,10,4.3567,0.5,0.429858,5,0.5,0.680892,5,0.5
0.000216,0,1.93821,10,4.37548,0.6,0.429883,5,0.6,0.680973,5,0.6
0.000217,0,1.9435,10,4.39292,0.7,0.429932,5,0.7,0.681149,5,0.7
0.000218,0,1.94886,10,4.40861,0.8,0.429993,5,0.8,0.681384,5,0.8
0.000219,0,1.9543,10,4.42259,0.9,0.430076,5,0.9,0.681705,5,0.9
0.00022,0,1.95982,10,4.4349,1,0.430182,5,1,0.68211,5,1
0.000221,1,1.96543,10,4.44785,0.1,0.43031,5,0.1,0.682597,5,0.1
0.000222,1,1.97098,10,4.46273,0.2,0.430418,5,0.2,0.683029,5,0.2
0.000223,1,1.9764,10,4.47902,0.3,0.430482,5,0.3,0.683329,5,0.3
0.000224,1,1.98173,10,4.49716,0.4,0.430511,5,0.4,0.683526,5,0.4
0.000225,0,1.98692,10,4.51603,0.5,0.430496,5,0.5,0.683594,5,0.5
0.000226,0,1.99205,10,4.53298,0.6,0.430455,5,0.6,0.683598,5,0.6
0.000227,0,1.99727,10,4.5486,0.7,0.430439,5,0.7,0.683698,5,0.7
0.000228,0,2.00256,10,4.56247,0.8,0.430437,5,0.8,0.683859,5,0.8
0.000229,0,2.00794,10,4.57463,0.9,0.430458,5,0.9,0.684107,5,0.9
0.00023,0,2.0134,10,4.58512,1,0.430502,5,1,0.68444,5,1
0.000231,1,2.01895,10,4.59626,0.1,0.43057,5,0.1,0.684857,5,0.1
0.000232,1,2.02444,10,4.60932,0.2,0.430619,5,0.2,0.68522,5,0.2
0.000233,1,2.02981,10,4.62379,0.3,0.430625,5,0.3,0.685451,5,0.3
0.000234,1,2.03507,10,4.64011,0.4,0.430597,5,0.4,0.685581,5,0.4
0.000235,0,2.04021,10,4.65717,0.5,0.430526,5,0.5,0.685584,5,0.5
0.000236,0,2.04528,10,4.67232,0.6,0.430431,5,0.6,0.685523,5,0.6
0.000237,0,2.05045,10,4.68614,0.7,0.430361,5,0.7,0.685559,5,0.7
0.000238,0,2.05569,10,4.69821,0.8,0.430306,5,0.8,0.685658,5,0.8
0.000239,0,2.06101,10,4.70858,0.9,0.430275,5,0.9,0.685844,5,0.9
0.00024,0,2.06642,10,4.71727,1,0.430269,5,1,0.686117,5,1
0.000241,1,2.07192,10,4.72663,0.1,0.430287,5,0.1,0.686475,5,0.1
0.000242,1,2.07736,10,4.73791,0.2,0.430288,5,0.2,0.686779,5,0.2
0.000243,1,2.08268,10,4.75061,0.3,0.430247,5,0.3,0.686953,5,0.3
0.000244,1,2.08789,10,4.76516,0.4,0.430172,5,0.4,0.687027,5,0.4
0.000245,0,2.09298,10,4.78044,0.5,0.430055,5,0.5,0.686974,5,0.5
0.000246,0,2.09801,10,4.79383,0.6,0.429916,5,0.6,0.68686,5,0.6
0.000247,0,2.10313,10,4.80588,0.7,0.429802,5,0.7,0.686843,5,0.7
0.000248,0,2.10832,10,4.8162,0.8,0.429705,5,0.8,0.68689,5,0.8
0.000249,0,2.1136,10,4.82482,0.9,0.429633,5,0.9,0.687026,5,0.9
0.00025,0,2.11897,10,4.83178,1,0.429586,5,1,0.687249,5,1
0.000251,1,2.12443,10,4.83941,0.1,0.429565,5,0.1,0.687558,5,0.1
0.000252,1,2.12983,10,4.84898,0.2,0.429527,5,0.2,0.687814,5,0.2
0.000253,1,2.1351,10,4.85997,0.3,0.429448,5,0.3,0.687941,5,0.3
0.000254,1,2.14028,10,4.87282,0.4,0.429337,5,0.4,0.687969,5,0.4
0.000255,0,2.14533,10,4.88639,0.5,0.429184,5,0.5,0.68787,5,0.5
0.000256,0,2.15032,10,4.89807,0.6,0.42901,5,0.6,0.687713,5,0.6
0.000257,0,2.15541,10,4.90843,0.7,0.428862,5,0.7,0.687654,5,0.7
0.000258,0,2.16056,10,4.91706,0.8,0.428732,5,0.8,0.68766,5,0.8
0.000259,0,2.16581,10,4.92401,0.9,0.428628,5,0.9,0.687755,5,0.9
0.00026,0,2.17114,10,4.92931,1,0.42855,5,1,0.687938,5,1
0.000261,1,2.17656,10,4.93529,0.1,0.428498,5,0.1,0.688208,5,0.1
0.000262,1,2.18193,10,4.94323,0.2,0.428431,5,0.2,0.688425,5,0.2
0.000263,1,2.18717,10,4.95259,0.3,0.428323,5,0.3,0.688514,5,0.3
0.000264,1,2.19232,10,4.96384,0.4,0.428183,5,0.4,0.688504,5,0.4
0.000265,0,2.19734,10,4.97578,0.5,0.428003,5,0.5,0.688369,5,0.5
0.000266,0,2.2023,10,4.98583,0.6,0.427803,5,0.6,0.688178,5,0.6
0.000267,0,2.20736,10,4.99458,0.7,0.427631,5,0.7,0.688086,5,0.7
0.000268,0,2.21249,10,5.00162,0.8,0.427476,5,0.8,0.688059,5,0.8
0.000269,0,2.21771,10,5.00698,0.9,0.427349,5,0.9,0.688123,5,0.9
0.00027,0,2.22302,10,5.01072,1,0.427248,5,1,0.688275,5,1
0.000271,1,2.22841,10,5.01515,0.1,0.427174,5,0.1,0.688514,5,0.1
0.000272,1,2.23375,10,5.02155,0.2,0.427084,5,0.2,0.688701,5,0.2
0.000273,1,2.23897,10,5.0294,0.3,0.426956,5,0.3,0.68876,5,0.3
0.000274,1,2.24409,10,5.03913,0.4,0.426796,5,0.4,0.688721,5,0.4
