Time,D_pedro,portadora_pedro,Vref,Vc
5.42e-005,0.281611,0.55,5,0.77898
5.43e-005,0.281509,0.575,5,0.781357
5.44e-005,0.281406,0.6,5,0.783727
5.45e-005,0.281303,0.625,5,0.786087
5.46e-005,0.281201,0.65,5,0.78844
5.47e-005,0.281098,0.675,5,0.790784
5.48e-005,0.280995,0.7,5,0.79312
5.49e-005,0.280892,0.725,5,0.795448
5.5e-005,0.280789,0.75,5,0.797767
5.51e-005,0.280686,0.775,5,0.800078
5.52e-005,0.280584,0.8,5,0.802381
5.53e-005,0.280481,0.825,5,0.804676
5.54e-005,0.280378,0.85,5,0.806962
5.55e-005,0.280275,0.875,5,0.80924
5.56e-005,0.280172,0.9,5,0.81151
5.57e-005,0.280069,0.925,5,0.813772
5.58e-005,0.279965,0.95,5,0.816026
5.59e-005,0.279862,0.975,5,0.818271
5.6e-005,0.279759,1.27055e-013,5,0.820509
5.61e-005,0.279656,0.025,5,0.822763
5.62e-005,0.280478,0.05,5,0.825046
5.63e-005,0.281298,0.075,5,0.827349
5.64e-005,0.282119,0.1,5,0.829681
5.65e-005,0.282939,0.125,5,0.83204
5.66e-005,0.283758,0.15,5,0.834428
5.67e-005,0.284576,0.175,5,0.836843
5.68e-005,0.285394,0.2,5,0.839286
5.69e-005,0.28621,0.225,5,0.841756
5.7e-005,0.287027,0.25,5,0.844254
5.71e-005,0.287842,0.275,5,0.84678
5.72e-005,0.288657,0.3,5,0.849331
5.73e-005,0.289038,0.325,5,0.851874
5.74e-005,0.288926,0.35,5,0.85441
5.75e-005,0.288815,0.375,5,0.856937
5.76e-005,0.288704,0.4,5,0.859455
5.77e-005,0.288593,0.425,5,0.861964
5.78e-005,0.288482,0.45,5,0.864464
5.79e-005,0.288371,0.475,5,0.866955
5.8e-005,0.288259,0.5,5,0.869437
5.81e-005,0.288148,0.525,5,0.871911
5.82e-005,0.288037,0.55,5,0.874375
5.83e-005,0.287925,0.575,5,0.876831
5.84e-005,0.287814,0.6,5,0.879278
5.85e-005,0.287702,0.625,5,0.881716
5.86e-005,0.287591,0.65,5,0.884145
5.87e-005,0.287479,0.675,5,0.886565
5.88e-005,0.287368,0.7,5,0.888977
5.89e-005,0.287256,0.725,5,0.89138
5.9e-005,0.287145,0.75,5,0.893774
5.91e-005,0.287033,0.775,5,0.896159
5.92e-005,0.286921,0.8,5,0.898536
5.93e-005,0.28681,0.825,5,0.900903
5.94e-005,0.286698,0.85,5,0.903263
5.95e-005,0.286586,0.875,5,0.905613
5.96e-005,0.286475,0.9,5,0.907955
5.97e-005,0.286363,0.925,5,0.910288
5.98e-005,0.286251,0.95,5,0.912613
5.99e-005,0.286139,0.975,5,0.914928
